,*Add tags,,,,,,,$99,$99,59.99,$169,29.99,29.99,29.99,,,,,,,,129.999,99.99-129.99,79.99,,,,,,,,$199,$0.00,$0.00
Item ID,Item Name:,Product Type:,COGS:,Current O/H,Retail:,Amazon Kit,Knotting Kit,Intro to Jewelry,Intro BW,Wire Working Kit,Ultimate Beading Kit,Learn Sub 1,Learn Sub 2,Learn Sub 3,Learn Sub 4,Learn Sub 5,Learn Sub 6,Learn Sub 7,Learn Sub 8,Learn Sub 9,Learn Sub 10,Adult Party Kit Stringing (4-6ppl),Kids Party Kit,Resin Kit,Jewelry Kit 1,Jewelry Kit 2,Jewelry Kit 3,Jewelry Kit 4,Jewelry Kit 5,Jewelry Kit 6,Advanced Jewelry,Adv BW,Wire Working Kit COGS,Wire Working Kit RP
152038,BeadTec Beading Tool Kit | 5 Piece Pliers Scoop & Awl,,$3.77,571,$29.99,1,,1,,1,1,,,,,,,,,,,2,,,,,,,,,1,,$3.77,$29.99
32908,Potomac Crystal Round Beads - Crystal AB 4mm | Pack of 95,Crystal Beads,$0.46,56,$6.99,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,$0.46,$6.99
ACK-Gold,"Athenacast Crimping Kit - Gold (20 crimp tubes, 20 crimp covers, 20 wire guards).",Findings,$0.35,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,
ACK-Silver,"Athenacast Crimping Kit - Silver (20 crimp tubes, 20 crimp covers, 20 wire guards).",Findings,$0.25,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,#REF!,#REF!
153140,"Athenacast Earring Material Pack | 24k Gold Plated | 5 pairs of Earrings |  (20 2"" 21g headpins, 20 rubber bell stoppers, 10 earwires (simple ball cheapest))",Findings,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
153142,"Athenacast Earring Material Pack | Silver Plated | 5 pairs of Earrings |  (20 2"" 21g headpins, 20 rubber bell stoppers, 10 earwires (simple ball cheapest))",Findings,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
153138,Athenacast Spacer Beads 2x3mm | 24k Gold | Pack of 100,Metal Beads,$0.59,0,$5.99,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
TBD,Athencast Daisy Spacer Beads - 5mm Silver | 50 pack,Metal Beads,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
TBD,Azuki 11/0 seed beads - Gold Permacoat 10g Tube,Seed Beads,$0.42,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,
TBD,Azuki 11/0 seed beads - Silver Permacoat 10g Tube,Seed Beads,$0.42,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,
TBD,Azuki 8/0 seed beads - Silver Permacoat 10g Tube,Seed Beads,$0.42,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
152097,BeadTec Stretch String Beading Cord Round .8mm | 10 Meters,Tools,$0.18,108,$5.99,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,2,,,
ULT_RULER_CRYS,BeadTec Ultimate Ruler Crystal,Tools,$0.70,451,$19.99,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
152126,"Clasp Kit: 24 Gold & Silver Clasps + Crimp Pack (5 lobsters each color, 5 toggles each color)",Findings,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,$0.00,$0.00
152097,Crimping Set XL,Findings,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,$0.00,$0.00
828,Gemstones - Black Onyx 6mm,Gemstone Beads,,,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,$0.00,$0.00
5167,Gemstones - Magnesite 'Turquoise' Round Beads 4mm Blue,Gemstone Beads,$1.00,83,$7.99,1,,1,1,,1,,,,,,,,,,,2,,,,,,,,,1,1,$0.00,$0.00
32000,Potomac Crystal Rondelle Beads - 3x4mm | Montana AB/Metallic Sky | Pack of 100,Crystal Beads,$0.43,13,,,,1,,,1,,,,,,,,,,,2,,,,,,,,,,,,
152070,Potomac Crystal Round Beads - Crystal AB 6mm | Pack of 50,Crystal Beads,$0.43,47,$10.99,,,1,1,,1,,,,,,,,,,,2,,,,,,,,,1,1,$0.00,$0.00
152050,Potomac Pearls - Bright White 4mm,Pearls,$0.49,11,$6.99,,,1,1,,1,,,,,,,,,,,2,,,,,,,,,1,1,$0.00,$0.00
152062,Potomac Pearls - Bright White 8mm Half Strand,Pearls,,549,$0.00,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
209500,"PotomacBeads Stainless Steel Beading Cable Wire 7 Strand .018"" (10 Meters)",Tools,$0.39,1343,$3.99,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,$0.00,$0.00
321600,Stoppers for Beads in Jewelry-Making,Tools,$0.05,769,$1.99,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,$0.00,$0.00
126202,Athenacast Jeweler's Wire 20 Gauge Round - Non-Tarnish Silver 18 Feet,Wire,$2.07,59,$7.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,$2.07,$7.99
126204,Athenacast Jeweler's Wire 24 Gauge Round - Non-Tarnish Silver 30 Feet,Wire,$1.85,50,$7.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,$1.85,$7.99
141260,Gemstones - Magnesite 'Turquoise' Round Beads 6mm Blue,Gemstone Beads,$1.00,0,$8.99,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,$1.00,$8.99
152064,Potomac Pearls - Bright White 8mm,Pearls,$0.69,227,$7.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,$0.69,$7.99
13170,"Athenacast - Clasp Crimp Pack - Lobsters, Jump Rings, Wire Guards,Crimp Beads | 24k Gold & Silver",Findings,$0.28,5247,$4.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126201,Athenacast Jeweler's Wire 18 Gauge Round - Non-Tarnish Silver 12 Feet,Wire,$3.11,75,$7.99,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,$3.11,$7.99
,Azuki 15/0 seed beads - Gold Permacoat 10g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Azuki 15/0 seed beads - Silver Permacoat 10g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
76644,Miyuki Seed Beads 11/0 - Labrador Full 14g Tube,Seed Beads,$2.92,86,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
70383,Miyuki Seed Beads 11/0 - Duracoat Galvanized Gold 14g Tube,Seed Beads,$2.10,78,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 11/0 - Jet 14g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
76701,Miyuki Seed Beads 8/0 - Labrador Full 14g Tube,Seed Beads,$2.08,86,$9.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
71591,Miyuki Seed Beads 8/0 - Duracoat Galvanized Gold 14g Tube,Seed Beads,$2.10,16,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Miyuki Seed Beads 8/0 - Jet 14g Tube,Seed Beads,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
76732,Miyuki Seed Beads 15/0 - Silver-Lined Crystal (or) Pearl Ceylon,Seed Beads,$2.50,148,$11.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
71030,Miyuki Seed Beads 6/0 - Silver-Lined Crystal (or) Pearl Ceylon,Seed Beads,$0.70,39,$4.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
152038,"BeadTec Beading Needles Sizes 10, 11, 12 | Mix Pack of 6",Tools,$0.21,11037,$2.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,$0.00,$0.00
152126,"BeadTec Memory Wire 2.25"" Silver",Tools,$0.16,729,$5.99,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152088,Non-Slip Rubber Base Bead Design Mat with Reference Guide | 11x14 Inches,Tools,$0.96,377,$15.99,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152047,Potomac Pearls - Bright White 6mm,Pearls,$0.54,-1,$6.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
152055,"Potomacbeads Beading Ruler | Ultimate | Crystal | 9x3""",Tools,$2.50,10,$19.99,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,$0.00,$0.00
210427,PotomacBeads Thread Cutter with Cover,Tools,$0.25,1568,$2.99,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
TBD,Instrucitons - Basic Beading Book? (already made),,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
TBD,Instrucitons - Beadweaving book?,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
TBD,Instrucitons - Wire working book?,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
210909,Bead Mat 8x11,Tools,,,,1,,1,1,,,,,,,,,,,,,6,6,,,,,,,,,,,
13166,Athenacast - Earring Material Pack | Earwires | 24k Gold & Real Silver Plated (1 Pair),Findings,$0.28,13141,$4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126215,Athenacast Jeweler's Wire 18 Gauge Round - Non-Tarnish Premium Gold Plated 12 Feet,Wire,$2.15,68,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126216,Athenacast Jeweler's Wire 20 Gauge Round - Non-Tarnish Premium Gold Plated 18 Feet,Wire,$2.05,17,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
2658,Athenacast Jeweler's Wire 20 Gauge Round 14K Gold-Filled Soft | 5 Feet,Wire,$25.21,7,$49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
1891,Athenacast Jeweler's Wire 20 Gauge Round Sterling Silver Soft | 5 Feet,Wire,$12.51,2,$24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
126217,Athenacast Jeweler's Wire 22 Gauge Round - Non-Tarnish Premium Gold Plated 24 Feet,Wire,$2.05,43,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,$0.00
